,compound,neg,neu,pos
0,0.9325,0.015,0.919,0.065
1,0.9492,0.073,0.787,0.14
2,-0.7003,0.029,0.964,0.007
3,0.9767,0.034,0.88,0.086
4,0.7592,0.033,0.904,0.064
5,0.9862,0.004,0.918,0.078
6,0.9877,0.063,0.835,0.102
7,-0.9686,0.15,0.767,0.082
8,0.9846,0.012,0.889,0.099
9,0.9721,0.039,0.843,0.118
10,-0.5393,0.095,0.829,0.076
11,0.9945,0.031,0.83,0.139
12,0.9153,0.042,0.878,0.079
13,-0.9918,0.182,0.748,0.07
14,0.9884,0.02,0.878,0.101
15,0.8758,0.015,0.922,0.063
16,0.9524,0.038,0.869,0.093
17,0.4314,0.06,0.875,0.064
18,0.6369,0.0,0.982,0.018
19,0.8542,0.089,0.8,0.112
20,0.9702,0.027,0.892,0.081
21,0.9916,0.085,0.771,0.144
22,-0.5647,0.054,0.917,0.029
23,-0.9654,0.092,0.891,0.017
24,-0.9893,0.15,0.799,0.05
25,0.9747,0.064,0.766,0.169
26,-0.8809,0.078,0.884,0.038
27,0.8074,0.052,0.877,0.071
28,0.9678,0.021,0.826,0.153
29,0.9324,0.062,0.807,0.131
30,0.9706,0.054,0.814,0.132
31,0.9572,0.039,0.79,0.171
32,-0.9847,0.116,0.834,0.05
33,0.9866,0.072,0.713,0.216
34,-0.4122,0.079,0.854,0.067
35,0.965,0.024,0.833,0.143
36,0.9118,0.04,0.874,0.086
37,0.9977,0.004,0.813,0.183
38,0.9968,0.007,0.781,0.212
39,-0.9839,0.094,0.851,0.055
40,0.9866,0.011,0.849,0.14
41,0.9331,0.037,0.869,0.094
42,-0.9136,0.077,0.883,0.04
43,-0.9576,0.096,0.849,0.055
44,-0.5865,0.056,0.915,0.029
45,-0.9732,0.112,0.867,0.02
46,-0.9826,0.1,0.861,0.039
47,-0.8804,0.123,0.773,0.104
48,0.9957,0.027,0.814,0.159
49,-0.4812,0.064,0.889,0.047
50,0.9761,0.128,0.719,0.153
51,0.9975,0.033,0.826,0.141
52,-0.9325,0.11,0.84,0.05
53,0.93,0.011,0.912,0.077
54,0.9714,0.045,0.798,0.158
55,0.9761,0.128,0.719,0.153
56,0.9975,0.033,0.826,0.141
57,-0.9325,0.11,0.84,0.05
58,0.93,0.011,0.912,0.077
59,0.9714,0.045,0.798,0.158
60,-0.8001,0.087,0.864,0.049
61,0.9607,0.016,0.914,0.07
62,-0.6597,0.063,0.893,0.044
63,-0.9205,0.106,0.835,0.059
64,-0.9011,0.151,0.752,0.096
65,0.7354,0.069,0.852,0.08
66,0.9805,0.074,0.794,0.132
67,0.9047,0.021,0.905,0.073
68,-0.965,0.125,0.806,0.069
69,0.9565,0.094,0.778,0.128
70,-0.9218,0.082,0.888,0.029
71,0.7836,0.128,0.725,0.147
72,0.836,0.055,0.86,0.085
73,0.5622,0.08,0.846,0.074
74,-0.25,0.094,0.812,0.094
75,0.9953,0.005,0.814,0.181
76,0.9516,0.105,0.754,0.141
77,-0.9846,0.095,0.863,0.041
78,0.4215,0.07,0.852,0.078
79,0.9477,0.011,0.91,0.079
80,0.9881,0.066,0.829,0.104
81,-0.4404,0.071,0.878,0.051
82,0.995,0.052,0.768,0.18
83,0.9544,0.0,0.902,0.098
84,0.9552,0.0,0.857,0.143
85,0.0258,0.112,0.762,0.125
86,-0.7783,0.035,0.957,0.008
87,0.9929,0.059,0.819,0.122
88,-0.8481,0.094,0.85,0.056
89,0.9326,0.034,0.822,0.143
90,-0.4939,0.089,0.858,0.053
91,0.9501,0.04,0.795,0.165
92,-0.8294,0.113,0.86,0.026
93,-0.9565,0.099,0.866,0.035
94,0.7845,0.069,0.856,0.075
95,-0.6254,0.056,0.915,0.03
96,-0.9747,0.108,0.835,0.057
97,0.9368,0.067,0.825,0.108
98,-0.9726,0.09,0.882,0.027
99,0.9313,0.011,0.937,0.052
